販売価格,利益率
110,0.5
220,0.5
330,0.5
440,0.5
550,0.5
660,0.5
770,0.5714285714
880,0.5625
990,0.5555555556
1100,0.6
1210,0.6363636364
1320,0.6666666667
1430,0.6923076923
1540,0.6785714286
1650,0.6666666667
1760,0.6875
1870,0.7058823529
1980,0.7222222222
2090,0.7368421053
2200,0.725
2310,0.7142857143
2420,0.7272727273
2530,0.7391304348
2640,0.75
2750,0.76
2860,0.75
2970,0.7407407407
3080,0.75
3190,0.7586206897
3300,0.7666666667
3410,0.7741935484
3520,0.765625
3630,0.7575757576
3740,0.7647058824
3850,0.7714285714
3960,0.7777777778
4070,0.7837837838
4180,0.7894736842
4290,0.7948717949
4400,0.8
